Proteomics,RNA,ChIP
tmem165,ttc7,Tle1
tmem175,lrfn3,Pard6b
tmem179b,foxa2,Gpx5
tmem184c,scd1,Atxn2
tmem192,setd7,Cdc7
tmem206,myom3,Poc1a
tmem222,il22ra1,Cyp2j5
tmem256,fgf2,Ccny
tmem30a,paqr7,Slco1a1
tmem55a,hhat,Tob1
tmem55b,slc30a1,Gm5424
tmem59,vnn1,Lpin1
tmem63a,vash2,Ghr
tmem87a,adgrl3,Lama3
tmem9,h2.dma,Bcl6
tmem9b,inf2,Atp1a1
tmf1,pced1a,Paics
tnfrsf10b,nmrk1,Mir7041
tollip,dusp8,Mup21
tom1,pcdh18,Mup17
tom1l2,ddx60,Eea1
tpbg,bank1,Rbpms
tpcn2,a4gnt,Gm2083
tpp1,fam188b,Idh1
trim41,igsf8,Fbxo15
trim65,dlec1,Fam107b
trim71,cntln,Serpina3k
tsc22d2,gstp2,Lmbr1l
tspan13,plekhg6,Cyp2d22
tspan3,enpp6,Btbd2
tspan31,fam126b,Klkb1
tspan6,fam198a,Ppp2r5a
tspan7,mical2,Elmod3
ttc31,glra3,Amdhd1
ttll4,slc22a23,Eps8l2
ttyh3,trp53inp2,Enpp2
txndc16,txnip,Pxmp4
txnrd1,foxq1,Ranbp10
tyms,poli,Pxdc1
ubiad1,socs7,Acsl1
ubtd2,prr3,Sdr9c7
ugcg,car14,Gm35135
unc50,rad9b,Rreb1
unc5b,saxo2,Ces3a
unc93b1,susd4,Mir6397
upf3b,pptc7,Sord
utp18,capn8,Gjb2
uvrag,pbx3,Adh7
uxs1,angptl6,Gstp2
vac14,elovl3,Vgll4
vamp3,itpkb,Aass
vamp4,garnl3,Gpcpd1
vamp7,a230050p20rik,Dusp6
vangl1,irs2,Acaca
vdac1,x3930402g23rik,Mup12
vnn1,arpin,Flnb
vps11,nexn,Apob
vps16,tbc1d19,Gm5820
vps18,nlrc4,Ube2g2
vps26a,abhd2,Zfp3
vps26b,isg20,Atp2a2
vps29,megf9,Dusp23
vps33a,cdk5rap2,Ces1e
vps35,tnfsf10,Hmgcs2
vps39,hexdc,Acsm5
vps41,sec24c,2810410L24Rik
vti1a,mtmr7,Ints7
vti1b,tspyl4,Mir3075
vtn,cdnf,Phf3
wbscr16,cyp7b1,Apol7a
wdfy1,mmd2,Nr3c1
wdr11,rbms3,Csnk1g3
wdr24,strip2,Ndel1
wdr41,wdr34,Slco1a4
wdr45b,dnajc28,Rlf
wdr59,cc2d2a,Gpt2
wdr6,cep131,Dap
wdr81,cpeb2,Dpt
wdr91,gabbr2,Rn4.5s
xpnpep1,slc44a3,Ugt2a3
xpo5,neurl2,Kmo
xylt2,slc39a5,Mir1948
yars,eva1c,Fgg
yars2,rhbdd2,Eci2
yipf3,tbc1d16,Amn1
yipf4,dtx4,Gm7160
zbtb5,saa4,Nampt
zbtb6,elavl1,Gm4951
zdhhc3,disp2,Klf3
zfp91,baz2a,Gm33337
zfpl1,pnrc1,Clpx
zfyve1,fmo2,Slc25a51
zfyve21,fmo1,Fras1
zfyve26,zfp704,Cdk1
zgrf1,gbp7,Ppa1
zkscan8,sema3d,Ngf
znf146,gbp2b,Gas6
znf281,bach2,Rubie
znf391,cdk6,Spata24
znf548,ddx58,Arhgef37
znf746,suco,Cmip
znf768,cul9,Ablim1
znrd1,ufl1,Id3
zscan26,cdh18,9130221F21Rik
,rc3h1,Smyd2
,spns2,Ergic1
,rabggta,Kng2
,xaf1,Mknk2
,igsf23,Foxa2
,abcg5,Csnk1d
,tlr8,Pagr1a
,wbscr27,Ilrun
,abcb1a,Dnah8
,ildr2,Ube2l6
,erc2,Abcb11
,ppip5k2,Hsd17b3
,dnph1,H6pd
,cyp2b9,Rnd3
,col16a1,Fam32a
,sh3pxd2b,Zfp873
,zfhx2,Slc45a3
,kcna2,Itih1
,slc25a34,Mgll
,siah1b,Nudt4
,hlcs,Cmah
,s100pbp,Nudt7
,slc16a11,Rapgef4
,npnt,Pah
,iffo2,Sik1
,fam117b,Elovl2
,lrit1,Arhgap32
,brca2,NA
,hectd2,Sorbs2
,elovl6,Pigl
,pklr,Tbc1d2b
,rbbp8,Nmral1
,dmxl2,Rwdd3
,adgrf1,Slc17a8
,inhba,Clmn
,ankrd42,Ftl1
