Proteomics,RNA,ChIP
,,Slco1c1
,,Ears2
,,Hexim2
,,Rad52
,,Zc3h11a
,,Ctsc
,,Zfp27
,,Mir6920
,,Trir
,,Cul3
,,Fam72a
,,B3gnt2
,,Gm10635
,,Herc6
,,Wnt8b
,,Alkbh5
,,Myocos
,,4932411N23Rik
,,Gm5105
,,Abhd1
,,Rbm33
,,Hyou1
,,Golga3
,,Hbp1
,,Canx
,,Spdye4c
,,2900076A07Rik
,,Farp2
,,Rdm1
,,Hist1h2ae
,,Inka2
,,Sec16a
,,Swi5
,,Caap1
,,Calm2
,,Nup188
,,Cpsf1
,,Bdkrb1
,,Chchd2
,,Golim4
,,Plcz1
,,Itga2b
,,Cwc27
,,Sprtn
,,Nedd9
,,Fkbp11
,,Kcnv2
,,Ncoa5
,,Slc16a1
,,Impdh2
,,Ift57
,,Il12rb1
,,Cbr1
,,Gm536
,,Mirlet7c-2
,,Snora33
,,Amfr
,,Thap7
,,1700030N03Rik
,,Epn2
,,Atp5g3
,,Cspg5
,,Flot2
,,Tecpr1
,,Tjp1
,,P4ha1
,,Cables1
,,Yes1
,,Nrip1
,,Gm5176
,,Tmem135
,,Trpc1
,,Gm10804
,,Gm16731
,,Rnf10
,,Acvr1
,,Tasor
,,Slc5a6
,,E2f6
,,Tecr
,,Tubgcp4
,,G0s2
,,2610507I01Rik
,,Zfp652os
,,E2f2
,,Nutf2
,,Pmm1
,,Clasp1
,,Prkrip1
,,Fam8a1
,,Hipk1
,,Mapkbp1
,,Bicc1
,,Gas5
,,Gpatch11
,,Zfp652
,,Il4ra
,,Nvl
,,Gm6498
,,Dtymk
,,Adamts1
,,Edaradd
,,Gm25500
,,Gm3336
,,Mphosph6
,,Ppid
,,3830432H09Rik
,,Eif4a1
,,Styxl1
,,Cul1
,,Sgms2
,,Mir5101
,,Tmed5
,,Ikbke
,,Nudt13
,,Pdpk1
,,Hnrnpc
,,Rpl10
,,Tmbim1
,,Slc22a28
,,Wdr81
,,Gm20268
,,Cdkl4
,,Ppp1r15a
,,Zfp148
,,Mfn1
,,2810002D19Rik
,,Washc4
,,Eif2b4
,,Tmem39a
,,Mtf2
,,Lrfn3
,,Dtnbp1
,,Zfyve19
,,Cnot9
,,2310039H08Rik
,,Chek1
,,Miga2
,,Zfp521
,,Kcna4
,,Nmd3
,,Mir5100
,,Aurkaip1
,,Casc3
,,Nme7
,,Dnm2
,,Zbtb42
,,Ccdc50
,,Dnaja2
,,Atp6v0a2
,,D17H6S53E
,,Mmp19
,,Hspa1b
,,Uros
,,Kif16bos
,,Sh3bgrl2
,,Tomm70a
,,1700084J12Rik
,,Calhm5
,,Lmbrd1
,,4930573H18Rik
,,Acer2
,,Ankub1
,,Grtp1
,,Mir6991
,,Taf2
,,Tor1a
,,Ak3
,,Rfx5
,,Rpl32l
,,Adprh
,,Tnfsf15
,,Ick
,,Ssbp3
,,Alad
,,Gfi1
,,Rtn4ip1
,,Cnn2
,,Arfgap2
,,Pcbp4
,,Mxd3
,,Prkar2a
,,Tbccd1
,,Mettl23
,,Kif13a
,,Ganab
,,Phf20l1
,,Cops5
,,Nosip
,,Kalrn
,,Cln3
,,Hmg20b
,,Nubp2
,,Lrrc8d
,,Rnf130
,,Mllt3
,,Sde2
,,N4bp3
,,3300005D01Rik
,,Gpm6a
,,Mbd6
,,Pkd2l2
,,Hcar2
,,Gm26839
,,Gm9776
,,Mir3470a
,,Rufy3
,,Rufy2
,,4930524B15Rik
,,Gpsm3
,,F5
,,Vps13b
,,Rps11
,,Lars
,,Cideb
,,Atl3
,,Zfp706
,,Atp2a3
,,Cramp1l
,,Selenok
,,8430426J06Rik
,,Ssh2
,,Mir6897
,,Oit3
,,Mir761
,,Sim1
,,Olfr49
,,1700108F19Rik
,,Kpna3
,,BC053393
,,Timd2
,,Acsm3
,,Rest
,,Ap5z1
,,Mmd2
,,Ufc1
,,Rtn4rl1
,,Imp4
,,Gm10400
,,Tars2
,,Snorc
,,Sost
,,Dgcr2
,,Rps15a-ps4
,,Tial1
,,Ndufaf6
,,Mir802
,,Col12a1
,,Pgm3
,,Gna14
,,Scn2b
,,Gspt1
,,Ehd1
,,Itga5
,,Usp16
,,Zzef1
,,Aqp4
,,Grin2c
,,Gpsm2
,,Lhpp
,,Ppil4
,,Oip5os1
,,Banp
,,Caln1
,,Pabpc5
,,Myc
,,Gm4013
,,Tor1b
,,Clta
,,Prdm14
,,Slc28a1
,,Dact2
,,C230014O12Rik
,,Bmp2
,,Sdf4
,,Alkbh3
,,Usp49
,,Hist1h1e
,,Txnl4b
,,Rnf13
,,Mir128-2
,,Adipor1
,,Mir7090
,,Erc1
,,Tnks
,,Ap3b1
,,Hmgn1
,,Zdhhc13
,,Gpr12
,,1700123M08Rik
,,Lgals7
,,Zfp180
,,9630028B13Rik
,,Acot3
,,Ascc1
,,Psip1
,,Hist1h4i
,,Rab4b
,,Sympk
,,Samm50
,,Prr13
,,Zfp623
,,Ccnf
,,Otof
,,Bcas2
,,Tcea1
,,Commd5
,,Polr1a
,,Palmd
,,Creb3l1
,,Slc15a5
,,Eif4a2
,,Rnf11
,,Fbf1
,,Manba
,,Bet1l
,,Sspn
,,BC005561
,,Sebox
,,Prpf3
,,AI429214
,,Jpt2
,,2310022B05Rik
,,Spsb2
,,Psmd12
,,4930459C07Rik
,,Mpdu1
,,Hmbox1
,,Hdhd2
,,Zfp784
,,Mir7226
,,Snord66
,,Ofcc1
,,Sesn1
,,Hnrnpm
,,Scn3a
,,Rela
,,Exosc4
,,Gm38416
,,Acsl3
,,Cda
,,Bbs10
,,Rif1
,,Phyhd1
,,Zbtb2
,,Snord99
,,Stx6
,,1700049E22Rik
,,Ik
,,Tarbp2
,,Bloc1s2
,,Cyp4f17
,,Grn
,,Wrb
,,Llgl1
,,Rnaseh2c
,,Mcm7
,,Alg8
,,Slc35a4
,,Ube2n
,,Rdh10
,,4933408B17Rik
,,Ift122
,,Sec23b
,,Trim13
,,Nme1
,,Arpc3
,,Gm10190
,,Nrxn1
,,Stxbp5
,,Tcp11l1
,,Mir8097
,,Hint3
,,Spata46
,,Sox6
,,Gtf2h1
,,Ecpas
,,Zfp719
,,Dld
,,Gbx2
,,Mcrip1
,,Isoc2b
,,Atp9a
,,45174
,,4930453N24Rik
,,Atf1
,,Eif3j2
,,Khdc4
,,Ubr3
,,Ints6
,,Abce1
,,Platr22
,,Atp11c
,,Midn
,,4930401O12Rik
,,Ubtd1
,,Fam76b
,,Mir5133
,,Akr1c13
,,Faf2
,,Kifc3
,,Mirlet7i
,,Mir5113
,,Ust
,,Tonsl
,,Atg16l2
,,Eloa
,,Atp6v1a
,,Znrf1
,,Eef1akmt4-ece2
,,Cstf3
,,Dedd
,,Zdhhc6
,,Yod1
,,Pafah1b2
,,Dpp3
,,Aagab
,,Gnb1l
,,Nxph1
,,AY512915
,,Ube2f
,,Snx5
,,Cerk
,,Iars
,,Nsmaf
,,Garem1
,,Bcl6b
,,Spty2d1
,,Gm42274
,,Pank3
,,Slc16a2
,,Ppifos
,,Ap2a2
,,Nkx2-4
,,Shld3
,,Cds1
,,Epn1
,,Psmd2
,,Plk4
,,A130077B15Rik
,,Plekha7
,,Tspan4
,,Kank2
,,1700066M21Rik
,,Naa25
,,Dcaf7
,,Gm6300
,,Setd2
,,Mob1b
,,Ipo5
,,Dusp16
,,Zkscan3
,,Klhl36
,,Aoah
,,Mcc
,,Caml
,,Mpp4
,,Klf17
,,Mrpl12
,,Rbbp6
,,Snw1
,,Lenep
,,Azin2
,,Ptk2b
,,Rnf123
,,Aadat
,,Irak1bp1
,,Haus1
,,Pdcd6
,,Spp2
,,Golph3
,,Mir7026
,,Ddo
,,Fam131c
,,Icam1
,,Map9
,,Uts2b
,,Capn9
,,Brk1
,,Yipf4
,,Ppia
,,Gm4432
,,Rbm14
,,Arih2
,,Ncstn
,,Sptssa
,,Ecd
,,Gatad1
,,Vapb
,,Heatr1
,,1700023C21Rik
,,Dpf1
,,Rab5b
,,Phf23
,,Pias1
,,Timm29
,,Gask1a
,,Mms22l
,,Wwp1
,,Cdh10
,,Golga4
,,Tsn
,,Magi3
,,Snx9
,,Pomt2
,,A930007I19Rik
,,Mir6994
,,Gpr37l1
,,Fignl1
,,Dnajc13
,,Osbp
,,Rnf167
,,Fam126b
,,Arl14
,,Chadl
,,Cnih4
,,Anapc7
,,Tmed7
,,Ccl9
,,Mfsd11
,,Thoc3
,,Tfr2
,,Mier1
,,Frat2
,,Emsy
,,Pcm1
,,Btaf1
,,Acp2
,,Mreg
,,Tns4
,,Rnf186
,,Zc3h3
,,Bhmt
,,Cdk2ap1
,,Frmd6
,,Clec2h
,,Apbb2
,,Mdh1
,,E530011L22Rik
,,Mpeg1
,,Cct4
,,Xrcc1
,,Ahdc1
,,Frg2f1
,,Shisal2a
,,Ddx55
,,Lman2
,,Mdn1
,,Abcc9
,,Gpr108
,,Sh3d21
,,Lincred1
,,Foxn2
,,Mir8091
,,Ugt1a2
,,Reln
,,Cend1
,,C1ql4
,,Myo5b
,,Capza2
,,Gm10638
,,Matr3
,,Timm13
,,Col4a2
,,Sgpp1
,,Tbc1d10a
,,Sh3bgrl
,,Man2c1
,,AA986860
,,9330175E14Rik
,,Wdr5b
,,Alyref
,,Ubn1
,,Fgfr1op2
,,Sec31b
,,Camkk2
,,Ppm1d
,,Gga1
,,Gab1
,,2610528J11Rik
,,Ercc3
,,Pon3
,,Myadm
,,Adam7
,,Tead1
,,2310039L15Rik
,,Rps17
,,Rnf145
,,Pabpc1
,,Gas2l1
,,Tchhl1
,,Ndufa12
,,Tex264
,,Rdh16f2
,,Dohh
,,Fhl5
,,Sema6b
,,Eid3
,,Pde3a
,,Tubb5
,,Pms1
,,Rab3ip
,,Zbtb43
,,Stard9
,,Clec16a
,,Fbp2
,,Matn4
,,Dysf
,,Mical2
,,Uqcr11
,,Dlst
,,Nkx6-2
,,Selenbp1
,,9530036O11Rik
,,Gm27162
,,Pdik1l
,,Cyp51
,,Mtmr12
,,Fam92b
,,Ipo7
,,Vcpkmt
,,Anks1b
,,Tmx1
,,P4htm
,,Cebpzos
,,Tvp23a
,,Cdc14a
,,Zbtb7a
,,Mfsd13a
,,E330033B04Rik
,,Ankle2
,,Lrrc8a
,,Gm3716
,,Trim23
,,Kcnk4
,,Arhgap35
,,Pibf1
,,Mir7675
,,Pnisr
,,Crip2
,,Gm4719
,,Skap2
,,Txn1
,,Rarres2
,,Lamtor2
,,Ccdc130
,,Avl9
,,Calhm2
,,Gm35978
,,1810058I24Rik
,,F2r
,,Mapk3
,,1110028F11Rik
,,Cand1
,,Spats2
,,Col23a1
,,Zfp329
,,Cyp2b10
,,Haghl
,,Cep112
,,Myl12b
,,Ppp3cc
,,Scaf8
,,Dmxl2
,,Pmpcb
,,Ndufs1
,,9530062K07Rik
,,Dll1
,,Igfbp5
,,Pelo
,,Gnai3
,,Dync1h1
,,Rab10
,,Slc47a2
,,Flrt3
,,Farsa
,,Glrx5
,,Cdkl2
,,Fcf1
,,Rpa1
,,Tmco3
,,Tmem87a
,,Ggh
,,Rpl29
,,Enpep
,,Skp1a
,,Tmem51
,,Bmpr2
,,4930506C21Rik
,,Mir592
,,Msh2
,,Clcc1
,,Hps3
,,Sra1
,,Zdhhc14
,,Cxcl13
,,Atpaf1
,,Snora81
,,Calml3
,,Echs1
,,Zfp513
,,Stmnd1
,,Eps15
,,Mtrex
,,Tomt
,,Spag6
,,E2f3
,,Stxbp6
,,Hip1r
,,Kat8
,,Mir6392
,,Rex1bd
,,Ftsj3
,,Ccdc177
,,Dsc1
,,Coq5
,,Gm45913
,,Slc35b2
,,Gse1
,,Cdadc1
,,9430091E24Rik
,,Xiap
,,4933401D09Rik
,,Stox1
,,Fbxo38
,,Mipep
,,6430548M08Rik
,,Srek1
,,Rars
,,Hspb11
,,Itpkc
,,Pcgf3
,,Adamts9
,,Gpr155
,,Ldhc
,,Creb3l2
,,Maff
,,Ift46
,,Btbd9
,,Rfesd
,,Vapa
,,Cbx3
,,Pdia6
,,Gm16336
,,2410022M11Rik
,,Ssr2
,,Utp25
,,Adig
,,Tmem200b
,,Creld1
,,Krcc1
,,Glce
,,Rab18
,,Rarb
,,Ppib
,,Plekho2
,,Fcsk
,,Dek
,,Cfap52
,,Eif2s1
,,Ptch2
,,1700001L05Rik
,,Cfap410
,,Mir15a
,,Nrde2
,,Fdxr
,,Gm9958
,,Nhlrc3
,,Gm5535
,,Ldlrad1
,,Tle5
,,Proser1
,,Tomm34
,,Cerkl
,,1700112H15Rik
,,Sfmbt1
,,Ddx39b
,,Senp3
,,Asap1
,,Lamtor1
,,Gm15348
,,Sema3b
,,Ccdc186
,,Klc4
,,Txndc15
,,Gnat3
,,Gak
,,1500004A13Rik
,,Gnai2
,,Coro7
,,Ndrg3
,,Csnk2a1
,,Dusp22
,,Rbm26
,,Ahr
,,Hdac4
,,Cdkn2c
,,Cep170b
,,Rc3h1
,,Crk
,,Mtfp1
,,Sdhb
,,Fam104a
,,Tmem26
,,Bcat2
,,Dusp4
,,Tspan10
,,Mapre3
,,Agl
,,Capn2
,,Qrich1
,,Rbm12
,,Mir203
,,Mir7011
,,Arap2
,,Bin2
,,Nde1
,,Rab9
,,Morn5
,,Mtpn
,,Grhl2
,,Kpnb1
,,Mtmr2
,,Tmem33
,,Pdcd2l
,,Vps50
,,Hist1h3b
,,Moxd2
,,Csad
,,2610035D17Rik
,,C87436
,,Tpm1
,,Fam107a
,,Wtap
,,Wdcp
,,Cpm
,,Spns2
,,Serpina16
,,Cabp2
,,Gm17597
,,Mir1933
,,Snora19
,,Dleu2
,,Fhl2
,,Fars2
,,Mir3077
,,Snx3
,,Hagh
,,Gm14635
,,Orc6
,,Tuba3b
,,Atp6v0a1
,,Rpl41
,,Senp6
,,Acad8
,,Mrpl22
,,Inhba
,,Fam151a
,,Chchd3
,,Zfhx2os
,,Cd59b
,,Sytl1
,,Slc16a6
,,Nop2
,,Nop16
,,Stac2
,,Gzmm
,,Rundc1
,,Ginm1
,,Arf6
,,Foxk2
,,Dusp3
,,Nxnl2
,,Spag5
,,Asah1
,,Snapc1
,,Coro6
,,Frrs1
,,Jade2
,,Prr5l
,,Zfp622
,,Atn1
,,Slc2a6
,,Crnkl1
,,Gm5083
,,Srr
,,1700016C15Rik
,,Anp32e
,,Coro1b
,,Fam234b
,,Prkdc
,,Lgals3bp
,,Kdm7a
,,Adh6b
,,2310020H05Rik
,,Maz
,,Gstm6
,,Fam136a
,,Acvr2b
,,Stag2
,,Gm24148
,,Gm8615
,,She
,,Ip6k1
,,Glt28d2
,,Slc38a10
,,Zfp189
,,Eln
,,Pts
,,Zfp53
,,Zfp365
,,Saraf
,,Lmod2
,,Rbm7
,,Ociad1
,,5830417I10Rik
,,Fbl
,,Ccdc127
,,Actr10
,,Dcaf12
,,Hist1h4n
,,Gm32229
,,Rexo1
,,A730085K08Rik
,,Sin3a
,,Ctrc
,,Mir28b
,,Eif6
,,Sh3bp2
,,Tex12
,,Gm12505
,,Ino80dos
,,Hist2h2ab
,,Mbd2
,,Cenpx
,,Mrpl49
,,LOC102632463
,,Jagn1
,,Micalcl
,,Hint2
,,Letm2
,,Sipa1l3
,,Nrep
,,Tacc1
,,D930007P13Rik
,,Eif2b5
,,Fgfr3
,,Khdrbs1
,,Mir3569
,,Cpsf7
,,Man2c1os
,,Gm12359
,,Cabin1
,,Armt1
,,Nap1l5
,,Mir6417
,,Dcaf5
,,Fes
,,Kcnq5
,,Enpp5
,,Extl3
,,Cbx5
,,Oga
,,Gm10440
,,Ahcyl1
,,Prkcz
,,Esco2
,,Epb41l1
,,Tmem183a
,,Cib1
,,Med21
,,Fzd9
,,Sfrp1
,,Tmem107
,,Antxr2
,,Scarna6
,,Arl2
,,Mir6996
,,4930447K03Rik
,,Mplkip
,,U2af2
,,Ppip5k1
,,Rnase12
,,Gbf1
,,Myh10
,,Abhd10
,,Fbxw11
,,Fam71e1
,,Zc3h13
,,Scaf4
,,Rnf214
,,Ddx46
,,Epp13
,,Lrp10
,,Kbtbd4
,,Wbp4
,,Snord19
,,Hgs
,,Dppa3
,,Imp3
,,4930544M13Rik
,,Vamp5
,,Nemp1
,,Vkorc1l1
,,Blvra
,,Ppp4c
,,Tfg
,,Slc34a1
,,Ddhd1
,,Nipal1
,,Arf5
,,Pdxk
,,Vnn3
,,Rsbn1
,,H2-Q8
,,1700123O21Rik
,,1700001K19Rik
,,Spcs2
,,Bace1
,,Pdcd7
,,Taok2
,,Hist1h3a
,,Tomm20l
,,Purb
,,Txnl1
,,Baz2b
,,Mup5
,,Cct6a
,,Vaultrc5
,,Ccdc62
,,Nmnat2
,,Tmem216
,,Nol7
,,Iars2
,,Tufm
,,Tcaim
,,Stt3b
,,Zmym5
,,Cdk17
,,Aicda
,,Lypd4
,,Mif4gd
,,Hivep1
,,Btn1a1
,,Trappc9
,,Syne2
,,Mir3073b
,,Btbd8
,,1500015A07Rik
,,Edf1
,,Smad5
,,Saa2
,,Sfxn5
,,Eri1
,,Efhd1
,,Mir6979
,,Ap1g1
,,Trip4
,,Mir1839
,,Nol4
,,4930583K01Rik
,,Cyp20a1
,,Ctnna1
,,Smim14
,,Keap1
,,Ccnb1
,,Pdzd9
,,Tmprss12
,,Usp37
,,9430037G07Rik
,,Inpp5f
,,Dffa
,,Myo1c
,,Rubcn
,,Ripor2
,,Mphosph8
,,Rbms2
,,Ttc7b
,,Snora3
,,Snora16a
,,Atad1
,,1700008C04Rik
,,Srpk2
,,Pnpla6
,,Arhgap12
,,Rad54b
,,Fig4
,,Dmgdh
,,Top1mt
,,Ddx1
,,Stk16
,,Rps21
,,Ltbr
,,Gm12718
,,Vps54
,,Ranbp17
,,1700023D09Rik
,,Rnf146
,,A730082K24Rik
,,Tor3a
,,Naglu
,,Arpc5l
,,Gm33174
,,Derl3
,,Atg10
,,Gstm4
,,Clcn7
,,Mir7-1
,,Capn3
,,Acot5
,,4930430F21Rik
,,Cr1l
,,Epha1
,,Dpy30
,,Ccdc117
,,Tra2b
,,Appl1
,,Pstk
,,Nexn
,,Scamp4
,,Cdt1
,,Dhx34
,,Apeh
,,1700030C10Rik
,,A930019D19Rik
,,Plscr3
,,Tram1
,,Tmem70
,,1810014B01Rik
,,Dmxl1
,,Zc3h8
,,Nap1l4
,,Mrpl24
,,Cspp1
,,Sprr2k
,,Tpr
,,Wdr43
,,Mafk
,,Ddit4
,,Phldb2
,,Kdf1
,,Dcaf6
,,Tulp1
,,Gm15694
,,Hsd17b11
,,Sec22a
,,1700034J05Rik
,,Cdkn1b
,,D130020L05Rik
,,Stag1
,,Ndufs7
,,Tmem54
,,Pkn2
,,Trim27
,,Slc18a1
,,Hapln1
,,Ldlrap1
,,Gm36480
,,Kmt2d
,,Rock1
,,Gzmk
,,Zfp637
,,9430038I01Rik
,,Col27a1
,,Ttc8
,,A130010J15Rik
,,Gm34637
,,Kiss1
,,Lgalsl
,,Thnsl1
,,Hsd3b7
,,Crtc1
,,1700030A11Rik
,,Zfp24
,,Cd276
,,Snord45c
,,Naa30
,,Eif3d
,,Eef1aknmt
,,C630043F03Rik
,,Raver2
,,D8Ertd738e
,,Cbfa2t2
,,Rab7
,,Zfp553
,,Smim26
,,Id1
,,Il33
,,Mtg1
,,Capn12
,,Gm12130
,,Rslcan18
,,Lyrm7
,,Vdac1
,,Snhg15
,,Igf2r
,,Isca1
,,Atoh7
,,AU040320
,,Mir1251
,,Api5
,,Echdc3
,,Klhl9
,,Sh3gl1
,,Idi2
,,Tpm3
,,Yme1l1
,,Cul5
,,Nap1l1
,,Snrnp200
,,Tomm22
,,Mettl14
,,Fam192a
,,Xxylt1
,,Zdhhc17
,,Tra2a
,,Spon2
,,Armc9
,,Prtn3
,,Nt5e
,,Atat1
,,Tiprl
,,Pecam1
,,Rasa3
,,Mir126b
,,Slc35b4
,,Stx12
,,Gsta1
,,Eif2ak1
,,Adamts12
,,Trappc4
,,Usp33
,,Cd83
,,Rbm15b
,,Ctsa
,,4632428C04Rik
,,Dnajc11
,,Stk38l
,,Armc7
,,En1
,,Cyp2c69
,,Snord11
,,Hnrnpk
,,Slc31a2
,,Rab1b
,,Mir1932
,,Snora64
,,Cebpe
,,Rb1cc1
,,Rassf10
,,Ciapin1
,,Angel2
,,4930443O20Rik
,,Mir3473d
,,LOC108167416
,,Cic
,,Dsn1
,,Phldb3
,,Tstd1
,,Rab26os
,,Pheta1
,,Tigd4
,,Rps25
,,Synrg
,,Map4k5
,,Pcp4l1
,,Psmc2
,,Phf11c
,,Gm6559
,,Lcmt1
,,Sephs1
,,Htr2b
,,Lmnb2
,,Tmem156
,,Il1r2
,,Cep152
,,Nphp3
,,Pabpn1
,,Ugt3a2
,,Baz1a
,,Gm15708
,,Tmed10
,,Tbc1d5
,,Pdcl3
,,Abl1
,,Trhr2
,,Tmem30a
,,Mir6354
,,Snx1
,,Vcl
,,Wdr90
,,Zfp112
,,Gm10389
,,Ypel4
,,Zfp84
,,Armh3
,,Inpp5e
,,Ppp1r12c
,,Gm9159
,,Fkbp3
,,Fermt3
,,Mitd1
,,2310009B15Rik
,,Rps13
,,Mterf3
,,Rnf20
,,Cast
,,Med11
,,Mybbp1a
,,Tlk2
,,B020004C17Rik
,,Agpat2
,,Phrf1
,,Dnajc21
,,Gga2
,,Cyp4a12a
,,Pllp
,,Bmf
,,Ubxn2b
,,Klrb1-ps1
,,AU022252
,,Impact
,,Rgs9bp
,,Hormad2
,,Aarsd1
,,A630095N17Rik
,,Atf4
,,Phykpl
,,Esf1
,,Psma7
,,Krt18
,,Psmb1
,,Nfkb1
,,Endog
,,Fbxo6
,,1010001N08Rik
,,Rwdd2a
,,Tmem102
,,Rnf6
,,1810062G17Rik
,,Setdb1
,,Ddx49
,,Acbd4
,,Gm5294
,,Tmem260
,,Alk
,,Rb1
,,Kdm4a
,,Cln5
,,Mir146
,,Srp54c
,,Golga1
,,Tlr11
,,Slc25a34
,,Plce1
,,Olfr1393
,,Ccdc40
,,Cox17
,,Spred1
,,Gm45924
,,Rabepk
,,Cenpc1
,,Snord45b
,,Orc3
,,4930529K09Rik
,,Pomk
,,Luc7l
,,Hist1h2ba
,,Lgals6
,,Ywhag
,,Slc17a9
,,Serpinb8
,,Zfp572
,,Drg1
,,Phf5a
,,Tex14
,,Mip
,,Gm8016
,,Rbm22
,,Ppm1f
,,4831407H17Rik
,,Mir6950
,,Hs2st1
,,Stra6l
,,Fam217a
,,Celsr1
,,Rorc
,,Gm13884
,,Smurf1
,,Lrrc59
,,Cnbp
,,Cyp2c68
,,Tbc1d15
,,4933433G19Rik
,,Mir5626
,,Mat2b
,,Pwwp2a
,,Atp6v0e2
,,Atp4a
,,Elf5
,,Eps8l3
,,Strada
,,Mfsd6
,,Dcakd
,,Tom1l1
,,Klrg2
,,Ikbkb
,,E330017L17Rik
,,Slc30a1
,,Vmn2r21
,,Adamts14
,,1700022I11Rik
,,Psmc6
,,Lrrc57
,,Rpl35
,,Map3k14
,,Kcnj1
,,Ggt6
,,Nae1
,,Sox18
,,Tmod3
,,Lsmem1
,,4930524C18Rik
,,Coq3
,,Mast2
,,Adamts2
,,Htatip2
,,Sypl
,,Mir467f
,,Smok3b
,,Sox15
,,Gm8541
,,1700012I11Rik
,,Wdr72
,,Slc22a21
,,Zfr
,,Clhc1
,,Igdcc4
,,3110040N11Rik
,,Fbxl8
,,Trim80
,,Dhx16
,,Mir12189
,,Sumf1
,,Tollip
,,Ints5
,,Sap18
,,Adamts6
,,Mir6387
,,Lrrc51
,,Rbsn
,,Btbd19
,,Ell3
,,Gm9733
,,Slc30a6
,,Zfp664
,,Slc25a20
,,Tmprss2
,,Mir7676-2
,,Olfr161
,,Itprid2
,,Chchd1
,,Hist2h3b
,,Ifi35
,,Gm32455
,,Gm13238
,,Mir1942
,,Nr4a1
,,Ttll4
,,Fbxw16
,,Rtp1
,,Ssb
,,Cyp2c38
,,Gm11827
,,Ndufv3
,,Suds3
,,Ica1
,,Tsr1
,,Fut11
,,C230024C17Rik
,,Ckb
,,Gm10509
,,Sugt1
,,Nfkb2
,,Setx
,,Clint1
,,Casp2
,,Nacc2
,,Nags
,,Tnpo3
,,Fam222a
,,Tssk6
,,Hmgxb3
,,Set
,,Ccne1
,,Nqo1
,,Mir3089
,,Naa15
,,4930528A17Rik
,,Mir7019
,,Hist4h4
,,Fam91a1
,,Mir3091
,,Mpv17
,,Cdrt4
,,Tnfsf11
,,Gm17399
,,S100a10
,,Sumo1
,,Smim10l1
,,Kdm5a
,,Pm20d1
,,Slc39a2
,,Elob
,,Itsn2
,,4930455D15Rik
,,Orai3
,,Snord65
,,D930016D06Rik
,,Cog3
,,1700099I09Rik
,,Ankrd26
,,Mir6929
,,Zscan29
,,Kat6b
,,Sugct
,,Chtop
,,Pdcd11
,,Exosc6
,,Sidt2
,,Tmem253
,,Gm13483
,,Asb2
,,Cux2
,,Cnnm3
,,Susd4
,,A230108P19Rik
,,Trnt1
,,Btg2
,,Slc22a1
,,Rogdi
,,Mtfmt
,,Msto1
,,Gosr2
,,Naa20
,,Rapsn
,,Fip1l1
,,Chmp4b
,,Riok2
,,Telo2
,,Rab35
,,E030003E18Rik
,,Unkl
,,Plrg1
,,1700073E17Rik
,,9330111N05Rik
,,Cluh
,,Hist1h4b
,,Nup214
,,Taf1
,,Gimap1
,,6720468P15Rik
,,Creb1
,,Pbx3
,,Pdcd6ip
,,Cep57
,,Esrra
,,Slc47a1
,,AF357399
,,Kcnn1
,,Toe1
,,Sf3a2
,,Tcea3
,,Serpine3
,,4930567K20Rik
,,Exog
,,Rictor
,,Sec61a2
,,Mir7237
,,Rnase10
,,4933438B17Rik
,,Galnt11
,,Crtc3
,,Rab33b
,,Mfsd2a
,,Esrrg
,,Pdf
,,Crb2
,,Eif3b
,,Snord2
,,Stac3
,,Sun1
,,Pir
,,Snord52
,,Eif5a
,,Tmem60
,,S100z
,,Cd2ap
,,Srp54b
,,Selenos
,,Snord67
,,Fam149a
,,Eci3
,,Mir693
,,Gm16523
,,Grk5
,,Gm10785
,,Phc2
,,Zswim6
,,Abi1
,,Tnk2os
,,Ptpn9
,,Heatr9
,,Adnp
,,Mir7659
,,Trim33
,,Cyb561a3
,,Naa40
,,Vps28
,,Lmna
,,Gm13205
,,Cntf
,,Mir1258
,,Man1b1
,,Snta1
,,1700024P04Rik
,,C920021L13Rik
,,Ccdc65
,,Marcksl1-ps4
,,Cnp
,,Ccdc181
,,Gldnos
,,Elovl1
,,Ganc
,,Traf3
,,Wdr7
,,Xkr8
,,Mrps24
,,Aasdh
,,Sfxn2
,,H2afx
,,Mycn
,,Ankle1
,,Srsf6
,,Rpl10a
,,Gm32885
,,Anapc11
,,4833415N18Rik
,,Snord4a
,,Tg
,,Lctl
,,Gfpt1
,,Rnf138
,,Vipas39
,,Slf2
,,Ap2b1
,,Zfp341
,,Ube2e3
,,H2-Q7
,,Otub1
,,Serpina1f
,,Capn15
,,Nbeal2
,,Trim14
,,Zbtb44
,,Ebag9
,,Rad9b
,,Hlcs
,,Klf6
,,Trim11
,,Bcl10
,,Pigs
,,Zfp771
,,Wdr55
,,Commd7
,,Tex44
,,Zfp446
,,Sema4b
,,Pikfyve
,,Ncoa6
,,Taf3
,,1700030K09Rik
,,Tekt2
,,0610009E02Rik
,,Fam45a
,,B930092H01Rik
,,Scimp
,,Parp12
,,Noxa1
,,Dctn4
,,Atad3aos
,,Stard3
,,5033406O09Rik
,,Gm20750
,,Rprd1b
,,Letmd1
,,C730027H18Rik
,,Pik3ca
,,Tmem59
,,A530072M11Rik
,,Slc34a2
,,Pacrgl
,,Cfap70
,,Cbfb
,,Xpo4
,,Bc1
,,Obox7
,,Usp9x
,,A430046D13Rik
