Compound Name, RT, Mass,COLD,RT, Liver 07 45x pos 080921 052, Liver 08 45x pos 080921 050, Liver 09 45x pos 080921 065, Liver 10 45x pos 080921 057, Liver 11 45x pos 080921 056, Liver 12 45x pos 080921 062, Liver 01 45x pos 080921 064, Liver 02 45x pos 080921 063, Liver 03 45x pos 080921 059, Liver 04 45x pos 080921 058, Liver 05 5x pos 080921 068, Liver 06 45x pos 080921 051,FC,P_VAL,log_FC
,7.711,873.5471,32066.53,24675.975,32849.68,28837.79,34947.71,28044.97,31283.38,39312.05,23566.71,30945.85,23389.64,23237.58,25785.24,27513.51,1.299504072,0.009169109,
,9.933,1263.0575,4369.981,1916.0595,5565.367,4665.089,4158.74,3464.402,4581.222,2465.092,3666.001,1108.29,2418.406,2856.546,0.001,1413.713,2.280712577,0.009222293,
,7.817,602.5815,1265.4105,444.5414,1536.01,1427.673,994.169,1261.966,1268.855,831,987.9324,0.001,918.2857,889.0818,0.001,0.001,2.84655265,0.009353758,
,8.449,715.6123,3666.1225,2963.4015,4921.73,3659.685,3337.547,3672.56,3734.386,3625.619,3532.123,2106.607,2888.311,3038.492,3072.111,2371.67,1.23713324,0.009465842,
,9.181,662.5599,9154.0345,6276.06,11432.79,8725.704,9582.365,7904.13,12551.65,6738.143,8012.971,3035.163,6752.995,6753.895,5799.125,4228.113,1.458563892,0.009485806,
,8.082,1306.8684,7009.381,4336.7255,10166.67,6561.167,6202.004,8250.301,6663.33,7355.432,4551.09,2331.752,6288.347,3238.376,6831.51,4122.361,1.616284222,0.009609056,
,6.507,738.5038,0.001,3955.65,0.001,1326.494,0.001,0.001,0.001,963.3217,4586.243,2440.429,7623.909,4904.049,3325.057,0.001,2.52803E-07,0.009706032,
,7.505,728.5833,7233.6015,6210.067,7261.339,7314.729,6848.133,7293.091,7086.981,7205.864,6515.49,4197.961,5808.15,6542.336,5904.644,6685.244,1.164818592,0.009815906,
,9.181,338.2823,13577.005,8418.33,14875.62,13159.11,13994.9,11221.24,15778.59,10728.02,11449.34,3707.771,10027.85,11709.21,6808.81,4402.008,1.612790779,0.009837749,
,9.181,717.6271,20066.91,13132.115,26701.21,20949.46,19184.36,17057.23,22711.5,14115.16,16736.13,4849.651,14542.16,15229.36,11722.07,7533.708,1.528079064,0.009857113,
,6.573,729.531,31188.895,12885.473,33549.27,34507.8,21732.98,32676.26,29701.53,17914.07,16460.49,7276.541,25147.88,21157.38,9310.456,0.001,2.420469547,0.009857987,
,8.114,837.5502,5554.817,3574.4205,7018.296,4500.276,6477.641,4985.114,6124.52,4237.367,3449.032,3312.751,3734.812,3540.023,5239.734,3608.818,1.554046873,0.00987211,
,9.309,787.6099,1477939,955658.4,1566253,1068188,1465521,1490357,1522592,1094608,938260.6,685568.9,973056.2,1082185,1304962,745289.7,1.546513901,0.009926713,
,9.992,799.6466,10331.3935,7299.6845,11959.34,11085,7038.516,10957.04,9705.747,8417.623,5156.527,4536.432,7300.696,7678.077,7298.673,8471.983,1.415320553,0.009970906,
,10.974,647.6219,162346.25,129759.65,172466,182456.5,143961.5,152226.5,181988.6,151829.2,139963,74410.81,136548.2,151904.8,122971.1,95323.61,1.251130455,0.010169981,
,8.378,813.8935,0.001,1573.381,0.001,0.001,0.001,0.001,0.001,0.001,1747.573,0.001,1666.087,0.001,1526.246,1620.516,6.35574E-07,0.010314282,
,8.715,594.4051,1085.942,1959.0245,1259.533,919.4561,1068.311,1103.573,961.0279,1219.148,2011.507,882.2838,2356.294,1915.069,1489.953,2002.98,0.554327932,0.010428726,
,8.323,853.6198,33103.325,20023.935,41372.61,23592.54,38559.16,29972.06,36234.59,24256.03,19931.85,17428.86,17678.1,24277.58,28239.37,20116.02,1.653187798,0.010480787,
,9.178,1233.0125,19806.93,13500.85,24621.87,20291.84,15194.21,19322.02,23462.69,17117.26,17831.07,6512.544,16252.61,14473.08,12528.62,8696.002,1.467087628,0.010547529,
,8.279,612.5262,1786.6765,1252.2955,1731.931,1841.422,1960.968,1891.914,1684.138,1546.236,1596.401,1025.007,1783.963,1258.494,1246.097,873.3535,1.426721169,0.01057558,
,8.316,1274.922,10567.2185,2636.727,13176.61,14642.45,6511.961,11729.56,1838.551,9404.877,1407.21,3972.716,1899.773,6206.537,1121.264,3373.681,4.007702921,0.010619045,
,8.083,940.5524,12795.685,11097.405,13930.3,12474.43,11569.48,13735,12860.86,12730.51,10942.77,7758.215,11252.04,10846.9,11279.21,12021.45,1.153033975,0.010762003,
