Lipid,log2(FC),-log10(p),sig_FDR,diffexpressed,delabel,label,FC,p_val
EtherPC 18:1e_16:0,0.131852846,0.3878,FALSE,NO,NA,not,1.0957,0.4094
EtherPC 18:1e_20:4,0.53565486,1.8267,TRUE,UP,EtherPC 18:1e_20:4,sig,1.4496,0.0149
EtherPC 24:0e,0.206518202,0.7096,FALSE,NO,NA,not,1.1539,0.1952
EtherPE 16:0e_18:2,0.074505436,0.0881,FALSE,NO,NA,not,1.053,0.8164
EtherPE 16:0e_20:4,-0.222127951,1.5372,TRUE,DOWN,EtherPE 16:0e_20:4,sig,0.8573,0.029
EtherPE 16:0e_22:4,0.188654118,0.1508,FALSE,NO,NA,not,1.1397,0.7066
EtherPE 16:0e_22:5,-2.147521676,0.4641,FALSE,NO,NA,not,0.2257,0.3435
EtherPE 16:0e_22:6,-0.390434132,0.1967,FALSE,NO,NA,not,0.7629,0.6358
EtherPE 16:1e_18:1,0.245739032,0.6511,FALSE,NO,NA,not,1.1857,0.2233
EtherPE 16:1e_20:3,1.025524968,0.6012,FALSE,NO,NA,not,2.0357,0.2505
EtherPE 16:1e_20:4,-0.201244386,0.8464,FALSE,NO,NA,not,0.8698,0.1424
EtherPE 16:1e_20:5,-0.171043524,0.4458,FALSE,NO,NA,not,0.8882,0.3583
EtherPE 16:1e_22:4,0.755742179,0.6071,FALSE,NO,NA,not,1.6885,0.2471
EtherPE 18:0e_18:1,-0.006796651,0.0131,FALSE,NO,NA,not,0.9953,0.9703
EtherPE 18:0e_18:2,0.702036896,1.1997,TRUE,UP,EtherPE 18:0e_18:2,sig,1.6268,0.0631
EtherPE 18:0e_20:1,0.254352163,0.5212,FALSE,NO,NA,not,1.1928,0.3012
EtherPE 18:0e_20:4,0.594166328,2.4402,TRUE,UP,EtherPE 18:0e_20:4,sig,1.5096,0.0036
EtherPE 18:0e_22:5,-0.567254341,0.4814,FALSE,NO,NA,not,0.6749,0.3301
EtherPE 18:1e_18:2,-0.035046947,0.0933,FALSE,NO,NA,not,0.976,0.8067
EtherPE 18:1e_20:1,0.360869904,0.4041,FALSE,NO,NA,not,1.2842,0.3944
EtherPE 18:1e_20:3,0.151858817,0.6069,FALSE,NO,NA,not,1.111,0.2472
EtherPE 18:1e_20:4,0.181293413,0.818,FALSE,NO,NA,not,1.1339,0.1521
EtherPE 18:1e_20:5,-0.009408127,0.0208,FALSE,NO,NA,not,0.9935,0.9532
EtherPE 18:1e_22:4,0.062950609,0.1492,FALSE,NO,NA,not,1.0446,0.7093
EtherPE 18:1e_22:5,-0.067485222,0.2434,FALSE,NO,NA,not,0.9543,0.571
EtherPE 18:1e_22:5_2,-0.028999139,0.1189,FALSE,NO,NA,not,0.9801,0.7605
EtherPE 18:1e_22:6,-0.002888279,0.0077,FALSE,NO,NA,not,0.998,0.9824
EtherPE 18:2e_18:1,-0.48096139,0.3481,FALSE,NO,NA,not,0.7165,0.4486
EtherPE 38:4e,0.257734802,0.6578,FALSE,NO,NA,not,1.1956,0.2199
EtherPE 38:6e,0.046141782,0.0666,FALSE,NO,NA,not,1.0325,0.8578
EtherPE 40:6e,7.21E-04,0.0011,FALSE,NO,NA,not,1.0005,0.9975
FA 16:0,0.177088602,0.5796,FALSE,NO,NA,not,1.1306,0.2633
FA 18:0,0.012211084,0.024,FALSE,NO,NA,not,1.0085,0.9462
FA 18:1,1.467227302,2.5406,TRUE,UP,FA 18:1,sig,2.7649,0.0029
FA 18:2,1.444349024,2.1231,TRUE,UP,FA 18:2,sig,2.7214,0.0075
FA 18:3,2.10882551,2.2653,TRUE,UP,FA 18:3,sig,4.3134,0.0054
FA 18:3_2,2.53925809,1.8793,TRUE,UP,FA 18:3_2,sig,5.8129,0.0132
FA 20:1,0.85646786,1.8401,TRUE,UP,FA 20:1,sig,1.8106,0.0145
FA 20:3,2.479411663,2.1658,TRUE,UP,FA 20:3,sig,5.5767,0.0068
FA 22:4,0.619553869,1.5171,TRUE,UP,FA 22:4,sig,1.5364,0.0304
FAHFA 16:0_18:2,0.143393419,0.3646,FALSE,NO,NA,not,1.1045,0.4319
FAHFA 16:0_2:0,-0.317067197,0.6759,FALSE,NO,NA,not,0.8027,0.2109
FAHFA 18:1_18:0,1.587028883,2.3076,TRUE,UP,FAHFA 18:1_18:0,sig,3.0043,0.0049
FAHFA 18:1_20:3,1.76951787,2.2929,TRUE,UP,FAHFA 18:1_20:3,sig,3.4094,0.0051
FAHFA 18:2_18:1,1.516317779,2.1694,TRUE,UP,FAHFA 18:2_18:1,sig,2.8606,0.0068
