RT,mz,Theo mz,Abundance,Lipid Class,Compound Name
8.169,840.576,840.576,90290,Phosphatidylcholine,PC 17:0_20:4
10.081,624.5573,NA,89689,NA,NA
8.519,816.5548,816.5549,89245,Phosphatidylethanolamine,PE 20:1_22:6
7.263,820.5133,820.5134,88996,Phosphatidylserine,PS 17:0_22:6
4.492,596.3932,596.3933,88486,Lysophophatidylcholine,LPC 20:0/0:0
0.715,405.2648,NA,87996,NA,NA
12.048,711.6255,NA,87327,NA,NA
6.821,804.5203,NA,86828,NA,NA
11.168,731.6305,NA,86500,NA,NA
0.683,269.1396,NA,86493,NA,NA
8.119,776.5235,776.5236,86039,Phosphatidylethanolamine,PE 17:0_22:6
11.51,680.6199,NA,85978,NA,NA
7.461,950.5763,NA,85949,NA,NA
0.593,496.2741,NA,85853,NA,NA
8.414,828.5759,828.576,85375,Phosphatidylcholine,PC 16:0_20:3
0.706,453.2858,NA,85023,NA,NA
9.073,1486.0852,NA,83504,NA,NA
9.602,692.34,NA,83022,NA,NA
8.356,952.5919,NA,82744,NA,NA
8.718,775.5969,775.5971,82741,Sphingomyelin,SM d36:1
13.831,1478.0106,1478.0119,82266,Cardiolipin,CL 74:7
7.706,859.5345,859.5342,82165,Phosphatidylinositol,PI 16:0_20:3
9.665,829.6439,829.644,82151,Sphingomyelin,SM d40:2
8.201,816.5759,816.576,81994,Phosphatidylcholine,PC 35:2
1.931,571.2889,571.2889,81918,Lysophosphatidylinositol,LPI 16:0
9.851,1468.8885,NA,81813,NA,NA
7.15,847.5491,847.5495,80893,Phosphatidylglycerol,PG 20:1_22:6
10.046,692.5447,NA,80319,NA,NA
9.122,889.581,889.5812,80239,Phosphatidylinositol,PI 18:0_20:2
9.039,750.5442,750.5443,79264,Ether-linked phosphatidylethanolamine,EtherPE 16:1e_22:4
11.284,748.4025,NA,78911,NA,NA
8.772,748.5285,748.5287,77454,Ether-linked phosphatidylethanolamine,EtherPE 38:6e
7.517,790.5388,790.5392,77376,Phosphatidylethanolamine,PE 18:0_22:6
2.149,471.2669,NA,77375,NA,NA
8.448,854.5914,854.5917,75677,Phosphatidylcholine,PC 18:0_20:4
10.769,778.6177,NA,75347,NA,NA
7.468,897.55,897.5499,75249,Phosphatidylinositol,PI 19:1_20:4
9.912,778.5752,778.5756,74450,Ether-linked phosphatidylethanolamine,EtherPE 18:1e_22:4
11.394,760.6071,NA,74057,NA,NA
9.729,770.5703,770.5705,73761,Phosphatidylethanolamine,PE 18:1_20:1
10.509,844.6516,NA,73185,NA,NA
11.579,668.6196,NA,73097,NA,NA
10.159,840.6568,840.657,72981,Hexosylceramide non-hydroxyfatty acid-dihydrosphingosine,HexCer_NDS d41:2
0.905,498.9304,NA,71984,NA,NA
13.772,1473.9776,1473.9806,71778,Cardiolipin,CL 74:9
7.849,911.5652,911.5655,71214,Phosphatidylinositol,PI 40:5
0.734,499.3066,NA,71063,NA,NA
6.422,574.451,NA,70636,NA,NA
3.586,568.362,568.362,70616,Lysophophatidylcholine,LPC 18:0/0:0
12.834,1395.9327,1395.9336,70604,Cardiolipin,CL 68:6
12.271,708.651,NA,70237,NA,NA
10.478,720.3714,NA,69741,NA,NA
3.926,719.5644,NA,69398,NA,NA
9.522,756.5546,756.5549,69264,Phosphatidylethanolamine,PE 19:0_18:2
7.457,894.55,NA,68616,NA,NA
8.253,911.565,911.5655,68495,Phosphatidylinositol,PI 18:0_22:5
6.42,881.5183,881.5186,68479,Phosphatidylinositol,PI 18:2_20:4
6.859,821.5333,821.5338,68275,Phosphatidylglycerol,PG 18:1_22:5
14.168,1454.0108,1454.0119,67870,Cardiolipin,CL 72:5
6.348,855.5026,855.5029,67811,Phosphatidylinositol,PI 16:0_20:5
8.721,898.5806,NA,67272,NA,NA
3.912,506.3252,506.3252,67268,Lysophosphatidylethanolamine,LPE 20:1
13.076,1497.9788,NA,67235,NA,NA
8.156,1456.0383,NA,67190,NA,NA
7.184,797.5333,797.5338,67036,Phosphatidylglycerol,PG 18:1_20:3
2.133,597.3046,597.3045,66756,Lysophosphatidylinositol,LPI 18:1
10.377,925.6627,NA,66670,NA,NA
10.149,665.5361,NA,65984,NA,NA
10.187,908.6433,NA,65903,NA,NA
4.278,655.361,NA,65551,NA,NA
8.923,1484.07,NA,65089,NA,NA
5.715,764.5505,NA,64383,NA,NA
11.099,832.6437,NA,64378,NA,NA
8.207,848.5444,848.5447,64206,Phosphatidylserine,PS 19:0_22:6
10.775,710.6302,710.6304,64010,Ceramide alpha-hydroxy fatty acid-sphingosine,Cer_AS d26:1_16:0
5.539,841.5022,841.5025,63940,Phosphatidylglycerol,PG 20:4_22:6
10.199,940.6702,NA,63634,NA,NA
12.034,776.434,NA,63107,NA,NA
1.725,538.315,538.315,62769,Lysophophatidylcholine,LPC 16:1/0:0
7.326,771.5179,771.5182,62293,Phosphatidylglycerol,PG 18:1_18:2
11.583,736.6067,NA,62222,NA,NA
8.791,810.5655,NA,62217,NA,NA
12.27,776.6383,NA,62187,NA,NA
9.912,770.5702,770.5705,61927,Phosphatidylethanolamine,PE 38:2
2.578,480.3094,NA,61789,NA,NA
7.148,795.5179,795.5182,61550,Phosphatidylglycerol,PG 18:1_20:4
8.695,862.56,862.5604,61352,Phosphatidylserine,PS 20:0_22:6
10.287,882.6288,NA,61252,NA,NA
0.76,501.322,NA,60493,NA,NA
13.272,1397.9484,1397.9493,60094,Cardiolipin,CL 68:5
0.584,1029.5759,NA,59398,NA,NA
6.632,810.5077,810.5079,59395,Phosphatidylethanolamine,PE 20:4_22:6
1.92,588.3305,588.3307,59306,Lysophophatidylcholine,LPC 20:4/0:0
3.74,253.2174,253.2173,59298,Free fatty acid,FA 16:1
8.236,838.5965,838.5967,59227,Ether-linked phosphatidylcholine,EtherPC 18:1e_20:4
0.571,367.1055,NA,58740,NA,NA
0.733,679.37,NA,58013,NA,NA
